PDB	ChainID	Name	Title	Type	Function	label_asym_id	Residue_seq_id
10TM	F, R	CLR	Cholesterol	Lipid	Cofactor	E, F, G, H	R:401, R:402, F:401, F:402
1F88	A, B	ZN	Zinc ion	Ion	Cofactor	J, K, P, Q	A:907, A:910, B:908, B:909
1F88	A, B	HG	Mercury (ii) ion	Ion		G, H, I, M, N, O	A:901, A:903, A:905, B:902, B:904, B:906
1GZM	A, B	PLM	Palmitic acid	Lipid	Cofactor	H, I, T, U	A:1333, A:1334, B:1333, B:1334
1GZM	A, B	PEF	Di-palmitoyl-3-sn-phosphatidylethanolamine	Other	Cofactor	J, X	A:1341, B:1342
1GZM	A, B	C8E	(hydroxyethyloxy)tri(ethyloxy)octane	Other	Cofactor	AA, BA, CA, L, M, N, O, P, Q, V, W, Z	B:1345, B:1346, B:1347, A:1343, A:1344, A:1345, A:1346, A:1347, A:1348, B:1340, B:1341, B:1344
1GZM	A, B	ZN	Zinc ion	Ion	Cofactor	EA, R	B:1349, A:1349
1GZM	A, B	LDA	Lauramine oxide	Detergent		DA, K, Y	B:1348, A:1342, B:1343
1HZX	A, B	PLM	Palmitic acid	Lipid	Cofactor	HA, S, T	B:1322, A:1322, A:1323
1HZX	A, B	ZN	Zinc ion	Ion	Cofactor	EA, FA, GA, O, P, Q, R	B:956, B:958, B:963, A:957, A:959, A:962, A:964
1HZX	A, B	BNG	Nonyl glucoside	Detergent		AA, G, H, I, J, K, Z	B:1506, A:1500, A:1501, A:1503, A:1504, A:1505, B:1502
1HZX	A, B	HG	Mercury (ii) ion	Ion		BA, CA, DA, L, M, N	B:902, B:904, B:906, A:901, A:903, A:905
1L9H	A, B	PLM	Palmitic acid	Lipid	Cofactor	IA, KA, W, Y, Z	B:1407, B:1322, A:1410, A:1322, A:1323
1L9H	A, B	ZN	Zinc ion	Ion	Cofactor	FA, GA, HA, O, P, Q, R	B:956, B:958, B:963, A:957, A:959, A:962, A:2011
1L9H	A, B	BNG	Nonyl glucoside	Detergent		AA, BA, G, H, I, J, K	B:1502, B:1506, A:1500, A:1501, A:1503, A:1504, A:1505
1L9H	A, B	HG	Mercury (ii) ion	Ion		CA, DA, EA, L, M, N	B:902, B:904, B:906, A:901, A:903, A:905
1U19	A, B	PLM	Palmitic acid	Lipid	Cofactor	AA, CA, O, P, Q, Z	B:1323, B:1407, A:1322, A:1323, A:1410, B:1322
1U19	A, B	ZN	Zinc ion	Ion	Cofactor	J, K, L, M, V, W, X	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
1U19	A, B	HG	Mercury (ii) ion	Ion		G, H, I, S, T, U	A:901, A:903, A:905, B:902, B:904, B:906
1U19	A, B	HTG	Heptyl 1-thio-glucoside	Detergent		DA, EA, FA, R	B:1506, B:1508, B:1509, A:1507
23SO	M, R	CLR	Cholesterol	Lipid	Cofactor	H, I, J, K, L, N, O, P, Q, R	M:501, M:502, M:503, M:504, M:505, R:501, R:502, R:503, R:504, R:505
2G87	A, B	PLM	Palmitic acid	Lipid	Cofactor	AA, CA, O, P, Q, Z	B:1323, B:1407, A:1322, A:1323, A:1410, B:1322
2G87	A, B	ZN	Zinc ion	Ion	Cofactor	J, K, L, M, V, W, X	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
2G87	A, B	HTG	Heptyl 1-thio-glucoside	Detergent		DA, EA, FA, R	B:1506, B:1508, B:1509, A:1507
2G87	A, B	HG	Mercury (ii) ion	Ion		G, H, I, S, T, U	A:901, A:903, A:905, B:902, B:904, B:906
2HPY	A, B	PLM	Palmitic acid	Lipid	Cofactor	AA, BA, DA, O, P, Q	B:1322, B:1323, B:1407, A:1322, A:1323, A:1410
2HPY	A, B	ZN	Zinc ion	Ion	Cofactor	J, K, L, M, W, X, Y	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
2HPY	A, B	HG	Mercury (ii) ion	Ion		G, H, I, T, U, V	A:901, A:903, A:905, B:902, B:904, B:906
2HPY	A, B	HTG	Heptyl 1-thio-glucoside	Detergent		EA, FA, R, S	B:1506, B:1509, A:1507, A:1508
2I36	A	PLM	Palmitic acid	Lipid	Cofactor	J	A:401
2J4Y	A, B	NAG	D-glcnac	Other		D, F	A:1327, B:1327
2PED	A, B	PLM	Palmitic acid	Lipid	Cofactor	AA, BA, DA, O, P, Q	B:1322, B:1323, B:1407, A:1322, A:1323, A:1410
2PED	A, B	ZN	Zinc ion	Ion	Cofactor	J, K, L, M, W, X, Y	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
2PED	A, B	HG	Mercury (ii) ion	Ion		G, H, I, T, U, V	A:901, A:903, A:905, B:902, B:904, B:906
2PED	A, B	HTG	Heptyl 1-thio-glucoside	Detergent		EA, FA, R, S	B:1506, B:1509, A:1507, A:1508
2RH1	A	CLR	Cholesterol	Lipid	Cofactor	M, N, O	A:412, A:413, A:414
2RH1	A	PLM	Palmitic acid	Lipid	Cofactor	P	A:415
2RH1	A	BU1	1,4-butanediol	Other	Cofactor	J, K	A:409, A:410
2RH1	A	ACM	Acetamide	Other	Cofactor	L	A:411
2VT4	A, B, C, D	NA	Sodium ion	Ion	Cofactor	F, L, Q, W	A:401, B:401, C:401, D:401
2VT4	A, B, C, D	SOG	Octyl 1-thio-glucoside	Detergent		G, H, I, M, N, O, R, S, T, X, Y, Z	A:402, A:403, A:405, B:402, B:404, B:405, C:402, C:404, C:405, D:402, D:403, D:405
2X72	A	ACT	Acetate ion	Other	Cofactor	J	A:412
2X72	A	PLM	Palmitic acid	Lipid	Cofactor	F, G	A:403, A:404
2X72	A	PEF	Di-palmitoyl-3-sn-phosphatidylethanolamine	Other	Cofactor	D	A:401
2X72	A	LPP	3-sn-phosphatidic acid	Other	Cofactor	I	A:411
2X72	A	BOG	Octyl glucoside	Detergent		E	A:402
2Y00	A	NA	Sodium ion	Ion	Cofactor	K	A:1359
2Y00	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, D, L, M	A:401, A:402, B:401, B:402
2Y00	A, B	2CV	Hega-10	Detergent		E, F, G, H, I, N, O, P, Q, R	A:501, A:502, A:503, A:504, A:505, B:501, B:502, B:503, B:504, B:505
2Y01	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, D, K, L	A:401, A:402, B:401, B:402
2Y01	A, B	2CV	Hega-10	Detergent		E, F, G, H, I, M, N, O, P, Q	A:501, A:502, A:503, A:504, A:505, B:501, B:502, B:503, B:504, B:505
2Y02	A	NA	Sodium ion	Ion	Cofactor	K	A:701
2Y02	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, D, L, M	A:401, A:402, B:401, B:402
2Y02	A, B	2CV	Hega-10	Detergent		E, F, G, H, I, N, O, P, Q, R	A:501, A:502, A:503, A:504, A:505, B:501, B:502, B:503, B:504, B:505
2Y03	A	NA	Sodium ion	Ion	Cofactor	H	A:701
2Y03	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, I	A:401, B:401
2Y03	A, B	2CV	Hega-10	Detergent		D, E, F, J, K, L	A:501, A:502, A:503, B:501, B:502, B:503
2Y04	A	NA	Sodium ion	Ion	Cofactor	K	A:701
2Y04	A, B	Y01	Cholesterol hemisuccinate	Lipid		C, D, L, M	A:401, A:402, B:401, B:402
2Y04	A, B	2CV	Hega-10	Detergent		E, F, G, H, I, N, O, P, Q, R	A:501, A:502, A:503, A:504, A:505, B:501, B:502, B:503, B:504, B:505
2YCW	A, B	NA	Sodium ion	Ion	Cofactor	F, K	A:1362, B:1363
2YCW	A, B	2CV	Hega-10	Detergent		D, E, H, I, J	A:1360, A:1361, B:1360, B:1361, B:1362
2Z73	A, B	PLM	Palmitic acid	Lipid	Cofactor	E, F, K, L	A:1001, A:1002, B:1001, B:1002
2Z73	A, B	TWT	Docosane	Other	Cofactor	G, M	A:1003, B:1003
2Z73	B	PC1	3-sn-phosphatidylcholine	Other	Cofactor	N	B:1004
2Z73	A, B	BOG	Octyl glucoside	Detergent		C, H	A:1005, B:1005
3AYN	A, B	PLM	Palmitic acid	Lipid	Cofactor	D, E, H	A:1001, A:1004, B:1001
3AYN	B	PC1	3-sn-phosphatidylcholine	Other	Cofactor	I	B:1004
3AYN	B	BOG	Octyl glucoside	Detergent		J	B:1005
3C9L	A	ZN	Zinc ion	Ion	Cofactor	D	A:1349
3C9L	A	PLM	Palmitic acid	Lipid	Cofactor	G, H	A:1333, A:1334
3C9L	A	PEF	Di-palmitoyl-3-sn-phosphatidylethanolamine	Other	Cofactor	I	A:1341
3C9L	A	C8E	(hydroxyethyloxy)tri(ethyloxy)octane	Other	Cofactor	K, L, M, N, O, P	A:1343, A:1344, A:1345, A:1346, A:1347, A:1348
3C9L	A	LDA	Lauramine oxide	Detergent		J	A:1342
3CAP	A, B	PLM	Palmitic acid	Lipid	Cofactor	K, N	A:901, B:902
3CAP	A, B	BGL	2-o-octyl-glucose	Other	Cofactor	G, H, I, J, L, M	A:801, A:802, A:803, A:804, B:805, B:806
3DQB	A	PLM	Palmitic acid	Lipid	Cofactor	H, I	A:701, A:702
3DQB	A	BOG	Octyl glucoside	Detergent		E, F, G	A:601, A:602, A:603
3OAX	A, B	PLM	Palmitic acid	Lipid	Cofactor	H, I, V, W	A:1322, A:1323, B:1322, B:1323
3OAX	A, B	ZN	Zinc ion	Ion	Cofactor	AA, BA, CA, M, N, O, P	B:956, B:958, B:963, A:957, A:959, A:962, A:2011
3OAX	A, B	4E6	(4e,6e)-hexadeca-1,4,6-triene	Other	Cofactor	EA, Q	B:1407, A:1410
3OAX	A, B	HG	Mercury (ii) ion	Ion		J, K, L, X, Y, Z	A:901, A:903, A:905, B:902, B:904, B:906
3OAX	A, B	HTG	Heptyl 1-thio-glucoside	Detergent		FA, GA, R, S	B:1506, B:1509, A:1507, A:1508
3ODU	A, B	OLA	Oleic acid	Lipid	Cofactor	G, K, L, M, N, O	A:1610, B:1605, B:1606, B:1607, B:1608, B:1609
3ODU	A, B	OLC	1-oleoyl-r-glycerol	Lipid		D, E, F, I, J	A:1600, A:1603, A:1604, B:1601, B:1602
3OE6	A	OLC	1-oleoyl-r-glycerol	Lipid		C, D, E	A:1600, A:1601, A:1602
3PQR	A	PLM	Palmitic acid	Lipid	Cofactor	I	A:701
3PQR	A	ACT	Acetate ion	Other	Cofactor	K, L	A:901, A:902
3PQR	A	NAG	D-glcnac	Other		F	A:501
3PQR	A	BOG	Octyl glucoside	Detergent		G, H	A:601, A:602
3ZEV	A	GLY	Glycine	Other	Cofactor	E, F, G, H, I	A:1387, A:1388, A:1389, A:1390, A:1391
3ZPR	A, B	NA	Sodium ion	Ion	Cofactor	C, D, K, L	A:1, A:2, B:1, B:2
3ZPR	A, B	Y01	Cholesterol hemisuccinate	Lipid		E, F, M, N	A:401, A:402, B:401, B:402
3ZPR	A, B	2CV	Hega-10	Detergent		H, I, J, P, Q, R, S, T	A:501, A:502, A:503, B:501, B:502, B:503, B:505, B:506
4A4M	A	ACT	Acetate ion	Other	Cofactor	E	A:1402
4A4M	A	PLM	Palmitic acid	Lipid	Cofactor	G	A:1404
4A4M	A	BOG	Octyl glucoside	Detergent		F	A:1403
4AMJ	A, B	NA	Sodium ion	Ion	Cofactor	D, O	A:1360, B:1361
4AMJ	A, B	2CV	Hega-10	Detergent		E, F, G, H, I, J, K, L, M, P, Q, R	A:1361, A:1362, A:1363, A:1364, A:1365, A:1366, A:1367, A:1368, B:1359, B:1362, B:1363, B:1364
