,Approval,Class,Drug Class,Drug Name,EntryName,Gene,YearIuphar,Year FDA,INDEX,Indication(s),LigandType,Phase,Status,Subfamily,Target class,Target_novelty,Trial name,Uniprot
0,0,Class B1 (Secretin),small molecule,561679,crfr1_human,CRHR1,-,-,543,Anti-depressant,Peptide ,,in trial,Corticotropin-releasing factor receptors,GPCR;Secretin,not established,crf-1 antagonist,P34998
1,0,Class B1 (Secretin),small molecule,768974,pth1r_human,PTH1R,-,-,10,Anti-osteoporotic,Peptide ,,in trial,Parathyroid hormone receptors,GPCR;Secretin,established,"768974, parathyroid hormone analog",Q03431
2,2003,Class A (Rhodopsin),peptide,abarelix,gnrhr_human,GNRHR,2003,2003,19,Antineoplastic,Peptide ,,approved,Gonadotrophin-releasing hormone receptors,GPCR;Rhodopsin,established,"abarelix, plenaxis",P30968
3,0,Class A (Rhodopsin),peptide,"ac-100,dentonin",pe2r1_human,PTGER1,-,-,29,dental ossificant,Lipid ,,in trial,Prostanoid receptors,GPCR;Rhodopsin,established,"ac-100,dentonin",P34995
4,0,Class A (Rhodopsin),peptide,"ac-100,dentonin",pe2r2_human,PTGER2,-,-,29,periodontal ossificant,Lipid ,,in trial,Prostanoid receptors,GPCR;Rhodopsin,established,"ac-100,dentonin",P43116
5,0,Class A (Rhodopsin),peptide,"ac-100,dentonin",pe2r3_human,PTGER3,-,-,29,periodontal ossificant,Lipid ,,in trial,Prostanoid receptors,GPCR;Rhodopsin,established,"ac-100,dentonin",P43115
6,0,Class A (Rhodopsin),peptide,"ac-100,dentonin",pe2r4_human,PTGER4,-,-,29,periodontal ossificant,Lipid ,,in trial,Prostanoid receptors,GPCR;Rhodopsin,established,"ac-100,dentonin",P35408
7,2004,Class C (Glutamate) ,small molecule,acamprosate,grm5_human,GRM5,2004,2004,34,Antineoplastic,Amino acid ,,approved,Metabotropic glutamate receptors,GPCR;Glutamate,established,"acamprosate,campral",P41594
8,1984,Class A (Rhodopsin),small molecule,acebutolol,adrb1_human,ADRB1,1984,1984,NRDD001,Antihypertensive,Aminergic ,,approved,Adrenoceptors,GPCR;Rhodopsin,established,-,P08588
9,0,Class A (Rhodopsin),small molecule,aceprometazine,hrh1_human,HRH1,-,-,NRDD003,Hypnotics and Sedatives,Aminergic ,,in trial,Histamine receptors,GPCR;Rhodopsin,established,-,P35367
10,1961,Class A (Rhodopsin),small molecule,acetophenazine,drd1_human,DRD1,-,1961,NRDD006,schizophrenia,Aminergic ,,approved,Dopamine receptors,GPCR;Rhodopsin,established,-,P21728
11,1961,Class A (Rhodopsin),small molecule,acetophenazine,drd2_human,DRD2,-,1961,NRDD006,schizophrenia,Aminergic ,,approved,Dopamine receptors,GPCR;Rhodopsin,established,-,P14416
12,2012,Class A (Rhodopsin),small molecule,aclidinium,acm1_human,CHRM1,2012,2012,44,Bronchodilator,Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium,P11229
13,2012,Class A (Rhodopsin),small molecule,aclidinium,acm2_human,CHRM2,2012,2012,44,Bronchodilator,Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium,P08172
14,2012,Class A (Rhodopsin),small molecule,aclidinium,acm3_human,CHRM3,2012,2012,44,Bronchodilator,Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium,P20309
15,2012,Class A (Rhodopsin),small molecule,aclidinium,acm4_human,CHRM4,2012,2012,44,Bronchodilator,Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium,P08173
16,2012,Class A (Rhodopsin),small molecule,aclidinium,acm5_human,CHRM5,2012,2012,44,Bronchodilator,Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium,P08912
17,2012,Class A (Rhodopsin),small molecule,aclidinium,acm2_human,CHRM2,2012,2012,MMAmay2016_0039,Chronic obstructive pulmonary disease (copd),Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium bromide + formoterol fumarate,P08172
18,2012,Class A (Rhodopsin),small molecule,aclidinium,acm4_human,CHRM4,2012,2012,MMAmay2016_0040,Chronic obstructive pulmonary disease (copd),Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium bromide + formoterol fumarate,P08173
19,2012,Class A (Rhodopsin),small molecule,aclidinium,acm5_human,CHRM5,2012,2012,MMAmay2016_0041,Chronic obstructive pulmonary disease (copd),Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium bromide + formoterol fumarate,P08912
20,2012,Class A (Rhodopsin),small molecule,aclidinium,acm1_human,CHRM1,2012,2012,MMAmay2016_0042,Chronic obstructive pulmonary disease (copd),Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium bromide + formoterol fumarate,P11229
21,2012,Class A (Rhodopsin),small molecule,aclidinium,acm3_human,CHRM3,2012,2012,MMAmay2016_0043,Chronic obstructive pulmonary disease (copd),Aminergic ,,approved,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,aclidinium bromide + formoterol fumarate,P20309
22,0,Class A (Rhodopsin),small molecule,acp-104,acm1_human,CHRM1,-,-,47,schizophrenia,Aminergic ,,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,acp-104,P11229
23,0,Class A (Rhodopsin),small molecule,acp-104,drd2_human,DRD2,-,-,47,schizophrenia,Aminergic ,,in trial,Dopamine receptors,GPCR;Rhodopsin,established,acp-104,P14416
24,0,Class A (Rhodopsin),small molecule,acp-104,drd3_human,DRD3,-,-,47,schizophrenia,Aminergic ,,in trial,Dopamine receptors,GPCR;Rhodopsin,established,acp-104,P35462
25,0,Class A (Rhodopsin),small molecule,acp-104,5ht2a_human,HTR2A,-,-,47,schizophrenia,Aminergic ,,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,acp-104,P28223
26,2015,Class A (Rhodopsin),small molecule,selexipag,pi2r_human,PTGIR,2015,-,MMAmay2016_0747,Antihypertensive,Lipid ,,approved,Prostanoid receptors,GPCR;Rhodopsin,established,selixipag,P43119
27,1989,Class A (Rhodopsin),small molecule,adenosine,aa1r_human,ADORA1,1989,1989,2267,Analgesics,Nucleotide ,,approved,Adenosine receptors,GPCR;Rhodopsin,established,"adenogesic, adenosine (intravenous)",P30542
28,1989,Class A (Rhodopsin),small molecule,adenosine,aa2ar_human,ADORA2A,1989,1989,2267,Analgesics,Nucleotide ,,approved,Adenosine receptors,GPCR;Rhodopsin,established,"adenogesic, adenosine (intravenous)",P29274
