,aln_seqSim,aln_seqIdn,subfamily,CGN,paralog
0,0.216141990264,0.473684210526,GNA12,G.HN.01,0.125
1,0.291353383459,0.543859649123,GNA13,G.HN.01,0.125
2,0.291353383459,0.543859649123,GNA13,G.HN.02,0.0625
3,0.176512072559,0.421052631579,GNA12,G.HN.02,0.0625
4,0.232239730256,0.491228070175,GNA12,G.HN.03,0.0625
5,0.291353383459,0.543859649123,GNA13,G.HN.03,0.0625
6,0.218230552658,0.491228070175,GNA12,G.HN.04,0.0625
7,0.291353383459,0.543859649123,GNA13,G.HN.04,0.0625
8,0.197028949832,0.438596491228,GNA12,G.HN.05,0.0625
9,0.291353383459,0.543859649123,GNA13,G.HN.05,0.0625
10,0.250322934126,0.508771929825,GNA12,G.HN.06,0.0625
11,0.291353383459,0.543859649123,GNA13,G.HN.06,0.0625
12,0.172247229203,0.40350877193,GNA12,G.HN.07,0.0625
13,0.0399274047187,0.206896551724,GNAL,G.HN.08,0.8125
14,0.365961242865,0.617647058824,GNAS2,G.HN.08,0.8125
15,0.872963575281,0.921568627451,GNAZ,G.HN.08,0.8125
16,0.374057315234,0.615384615385,GNAI1,G.HN.08,0.8125
17,0.308737046835,0.551020408163,GNAO,G.HN.08,0.8125
18,0.174808245099,0.432432432432,GNA11,G.HN.08,0.8125
19,0.857317073171,0.926829268293,GNAT3,G.HN.08,0.8125
20,0.804421768707,0.897959183673,GNAT1,G.HN.08,0.8125
21,0.281306715064,0.534482758621,GNAQ,G.HN.08,0.8125
22,0.858585858586,0.927272727273,GNAT2,G.HN.08,0.8125
23,0.235185783523,0.491228070175,GNA12,G.HN.08,0.8125
24,0.743707226247,0.859649122807,GNAI3,G.HN.08,0.8125
25,0.429236410811,0.675,GNA15,G.HN.08,0.8125
26,0.629178743961,0.804347826087,GNAI2,G.HN.08,0.8125
27,0.291353383459,0.543859649123,GNA13,G.HN.09,0.625
28,0.374057315234,0.615384615385,GNAI1,G.HN.09,0.625
29,0.922352941176,0.960784313725,GNAZ,G.HN.09,0.625
30,0.291384029849,0.551020408163,GNAO,G.HN.09,0.625
31,0.182152014847,0.438596491228,GNA12,G.HN.09,0.625
32,0.804421768707,0.897959183673,GNAT1,G.HN.09,0.625
33,0.342876242069,0.617647058824,GNAS2,G.HN.09,0.625
34,0.857317073171,0.926829268293,GNAT3,G.HN.09,0.625
35,0.858585858586,0.927272727273,GNAT2,G.HN.09,0.625
36,0.684970548865,0.842105263158,GNAI3,G.HN.09,0.625
37,0.175183620474,0.432432432432,GNA11,G.HN.09,0.625
38,0.479807692308,0.675,GNA15,G.HN.09,0.625
39,0.263157894737,0.51724137931,GNAQ,G.HN.09,0.625
40,0.0376870656993,0.206896551724,GNAL,G.HN.09,0.625
41,0.64347826087,0.804347826087,GNAI2,G.HN.09,0.625
42,0.878431372549,0.941176470588,GNAZ,G.HN.10,0.4375
43,0.189354385073,0.456140350877,GNA12,G.HN.10,0.4375
44,0.374057315234,0.615384615385,GNAI1,G.HN.10,0.4375
45,0.291353383459,0.543859649123,GNA13,G.HN.10,0.4375
46,0.197588498796,0.525,GNA15,G.HN.10,0.4375
47,0.804421768707,0.897959183673,GNAT1,G.HN.10,0.4375
48,0.294642857143,0.551020408163,GNAO,G.HN.10,0.4375
49,0.64347826087,0.804347826087,GNAI2,G.HN.10,0.4375
50,0.731725146199,0.859649122807,GNAI3,G.HN.10,0.4375
51,0.70303030303,0.8,GNAT2,G.HN.10,0.4375
52,0.641139041069,0.829268292683,GNAT3,G.HN.10,0.4375
