,Unnamed: 0,actual_cost,date,drugClass,drugCode,drugName,drugNameQuery,items,quantity,section
1,1,166126.32,2012-07-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9517.0,1045152.0,4.10: Drugs Used In Substance Dependence
2,2,171303.14,2012-08-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9815.0,1079125.0,4.10: Drugs Used In Substance Dependence
3,3,162153.36,2012-09-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9300.0,1022658.0,4.10: Drugs Used In Substance Dependence
4,4,175118.21,2012-10-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9992.0,1103707.0,4.10: Drugs Used In Substance Dependence
5,5,169838.09,2012-11-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9786.0,1071104.0,4.10: Drugs Used In Substance Dependence
6,6,169671.67,2012-12-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9504.0,1069666.0,4.10: Drugs Used In Substance Dependence
7,7,172794.83,2013-01-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9709.0,1087603.0,4.10: Drugs Used In Substance Dependence
8,8,156324.82,2013-02-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,8906.0,983449.0,4.10: Drugs Used In Substance Dependence
9,9,168182.21,2013-03-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9533.0,1057551.0,4.10: Drugs Used In Substance Dependence
10,10,172560.86,2013-04-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9724.0,1086427.0,4.10: Drugs Used In Substance Dependence
11,11,176870.49,2013-05-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9984.0,1114132.0,4.10: Drugs Used In Substance Dependence
12,12,168745.43,2013-06-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9469.0,1063739.0,4.10: Drugs Used In Substance Dependence
13,13,185539.41,2013-07-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10593.0,1167941.0,4.10: Drugs Used In Substance Dependence
14,14,179694.69,2013-08-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10190.0,1131365.0,4.10: Drugs Used In Substance Dependence
15,15,175952.76,2013-09-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9982.0,1107401.0,4.10: Drugs Used In Substance Dependence
16,16,190456.92,2013-10-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10950.0,1198076.0,4.10: Drugs Used In Substance Dependence
17,17,179189.58,2013-11-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10373.0,1128857.0,4.10: Drugs Used In Substance Dependence
18,18,183640.94,2013-12-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10641.0,1156001.0,4.10: Drugs Used In Substance Dependence
19,19,188588.74,2014-01-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10906.0,1186848.0,4.10: Drugs Used In Substance Dependence
20,20,168363.68,2014-02-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,9779.0,1059908.0,4.10: Drugs Used In Substance Dependence
21,21,181862.44,2014-03-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10677.0,1143105.0,4.10: Drugs Used In Substance Dependence
22,22,174187.53,2014-04-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10483.0,1095906.0,4.10: Drugs Used In Substance Dependence
23,23,181391.24,2014-05-01,small molecule,0410010A0,Acamprosate Calcium,acamprosate,10591.0,1140476.0,4.10: Drugs Used In Substance Dependence
