,helm_notation,molecule_chembl_id
0,PEPTIDE1{A.L.Y.A.S.K.L.S.[am]}$$$$,CHEMBL448105
1,PEPTIDE1{[meR].K.P.W.[Tle].L}$$$$,CHEMBL266571
2,PEPTIDE1{[X833].[dP].W.[Tle].[X454]}$$$$,CHEMBL268600
3,PEPTIDE1{[X12].[dP].W.[Tle].[X454]}$$$$,CHEMBL6562
4,PEPTIDE1{K.P.W.[Tle].L}$$$$,CHEMBL380726
5,PEPTIDE1{[X12].[dP].W.I.L}$$$$,CHEMBL427604
6,PEPTIDE1{[X500].[dP].W.[Tle].[X454]}$$$$,CHEMBL265671
7,PEPTIDE1{K.F.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$,CHEMBL266306
8,PEPTIDE1{G.R.G.D.S.P}$$$$,CHEMBL6602
9,PEPTIDE1{[X12].[dP].Y.[Tle].L}$$$$,CHEMBL6508
10,PEPTIDE1{[X12].[dP].W.[Tle].L}$$$$,CHEMBL269601
11,PEPTIDE1{[X833].[dP].W.[Tle].L}$$$$,CHEMBL267459
12,PEPTIDE1{G.L.A.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL428140
13,PEPTIDE1{G.L.Q.G.R.L.Q.R.A.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$,CHEMBL409291
14,PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.A.L.T.M}$$$$,CHEMBL406591
15,PEPTIDE1{[X307].L.F}$$$$,CHEMBL265408
16,PEPTIDE1{[X1043].L.F}$$$$,CHEMBL7214
17,PEPTIDE1{[dGlp].E.[dP].[am]}$$$$,CHEMBL7003
18,PEPTIDE1{[X1086].[dL].F.[dL].F}$$$$,CHEMBL7363
19,PEPTIDE1{[X257].[dL].F.[dL].F}$$$$,CHEMBL7122
20,PEPTIDE1{[X1602].[dL].F.[dL].F}$$$$,CHEMBL6450
21,PEPTIDE1{[X1439].L.F}$$$$,CHEMBL266448
22,PEPTIDE1{[X2338].L.F}$$$$,CHEMBL267388
23,PEPTIDE1{[X1590].L.F}$$$$,CHEMBL266089
24,PEPTIDE1{[X802].L.F}$$$$,CHEMBL7034
25,PEPTIDE1{[X2589].L.F}$$$$,CHEMBL6997
26,PEPTIDE1{[X2443].L.F}$$$$,CHEMBL266802
27,PEPTIDE1{[X455].[dL].F.[dL].F}$$$$,CHEMBL7486
28,PEPTIDE1{[X876].[dL].F.[dL].F}$$$$,CHEMBL162488
29,PEPTIDE1{[X1107].L.F}$$$$,CHEMBL268823
30,PEPTIDE1{[X456].L.F}$$$$,CHEMBL7306
31,PEPTIDE1{[X2773].L.F}$$$$,CHEMBL7520
32,PEPTIDE1{[X607].L.F}$$$$,CHEMBL7181
33,PEPTIDE1{[X91].L.F}$$$$,CHEMBL415299
34,PEPTIDE1{[X2774].L.F}$$$$,CHEMBL7226
35,PEPTIDE1{[ac].D.A.D.E.[X201].L.[am]}$$$$,CHEMBL428184
36,PEPTIDE1{[ac].D.[X699].V.P.M.L.[am]}$$$$,CHEMBL7957
37,PEPTIDE1{[ac].D.[X127].V.P.M.L.[am]}$$$$,CHEMBL7519
38,PEPTIDE1{[ac].D.[X201].V.P.M.L.[am]}$$$$,CHEMBL428835
39,PEPTIDE1{[ac].D.A.D.E.[X699].L.[am]}$$$$,CHEMBL8284
40,PEPTIDE1{[Me_Phg].P.R}$$$$,CHEMBL8108
41,PEPTIDE1{F.P.S.K.P}$$$$,CHEMBL8072
42,PEPTIDE1{S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y}$$$$,CHEMBL428276
43,PEPTIDE1{I.N.L.I.T.R.Q.R.Y}$$$$,CHEMBL216785
44,PEPTIDE1{Y.P.F.[dP].[am]}$$$$,CHEMBL267708
45,PEPTIDE1{Y.G.G.F.L}$$$$,CHEMBL8234
46,PEPTIDE1{L.R.H.Y.I.N.L.I.T.R.Q.R.Y}$$$$,CHEMBL410260
47,PEPTIDE1{[X1178].P.[X2577].L}$$$$,CHEMBL269581
48,PEPTIDE1{[Boc_K].[X2362].I.L}$$$$,CHEMBL267748
49,PEPTIDE1{K.P.Y.I.L}$$$$,CHEMBL8454
50,PEPTIDE1{[X1178].P.Y.I.L}$$$$,CHEMBL427656
51,PEPTIDE1{[Boc_K].P.Y.I.L}$$$$,CHEMBL8857
52,PEPTIDE1{[X1178].[X2732].I.L}$$$$,CHEMBL8899
53,PEPTIDE1{C.R.L.A.Q.D.E.A.D.V.T.E.Y.C}$$$$,CHEMBL268613
54,PEPTIDE1{Y.V.P.T.N.V.G.F.E.A.F}$$$$,CHEMBL407856
55,PEPTIDE1{S.K.V.I.L.P}$$$$,CHEMBL10920
56,"PEPTIDE1{[ac].[dE].A}|PEPTIDE2{E.K.[X556].R.K.L.F.D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$",CHEMBL413613
57,"PEPTIDE1{[ac].[dE].A}|PEPTIDE2{E.K.N.R.K.L.[Cha].D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$",CHEMBL386892
58,"PEPTIDE1{[ac].[dE].[dA]}|PEPTIDE2{E.K.N.R.K.L.[Cha].D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$",CHEMBL407570
59,"PEPTIDE1{E.K.[X556].R.K.L.F.D.I.I.[am]}|PEPTIDE2{[ac].[dE].D}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R3$$$",CHEMBL413591
