,Approval,Class,Drug Class,Drug Name,EntryName,Gene,INDEX,Indication(s),LigandType,Phase,PhaseDate,ClinicalStatus,Status,Subfamily,Target class,Target_novelty,Trial name,Uniprot,ModeOfAction,Note
0,0,Class A (Rhodopsin),small molecule,apd791,5ht2a_human,HTR2A,195,antithrombotic,Aminergic ,1,2008.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,apd791,P28223,agonist,
1,0,Class A (Rhodopsin),small molecule,apd916,hrh3_human,HRH3,196,sleep disorders; narcolepsy,Aminergic ,1,2010.0,Completed,in trial,Histamine receptors,GPCR;Rhodopsin,established,apd916,Q9Y5N1,agonist,
2,0,Class A (Rhodopsin),small molecule,cpb-307,s1pr1_human,S1PR1,MMAmar2016_0127,autoimmune diseases,Lipid ,1,2014.0,Completed,in trial,Lysophospholipid (S1P) receptors,GPCR;Rhodopsin,established,cpb-307,P21453,agonist,
3,0,Class A (Rhodopsin),peptide,peptide yy,npy2r_human,NPY2R,699,Appetite suppressant,Peptide ,1,2009.0,Completed,in trial,Neuropeptide Y receptors,GPCR;Rhodopsin,not established,eligen pyy-3-36 + glp-1,P49146,agonist,
4,0,Class A (Rhodopsin),small molecule,gc021109,p2ry6_human,P2RY6,MMAfeb2016_0055,Alzheimer's disease,Nucleotide ,1,2015.0,Completed,in trial,P2Y receptors,GPCR;Rhodopsin,not established,gc021109,Q15077,agonist,
5,0,Class A (Rhodopsin),small molecule,HTL18318,acm1_human,OPRM,ASH_Mar2017_2,dementia ; schizophrenia,Aminergic ,1,2016.0,Completed,in trial,Acetylcholine receptors (muscarinic),GPCR;Rhodopsin,established,HTL18318,P11229,agonist,
6,0,Class A (Rhodopsin),small molecule,int-767,gpbar_human,GPBAR1,MMAapril2016_0196,Treatment of liver fibrosis,Steroid ,1,2011.0,Completed,in trial,Bile acid receptors,GPCR;Rhodopsin,not established,int-767,Q8TDU6,agonist,Appears to be heading to phase 2 trials as of 2015
7,0,Class A (Rhodopsin),small molecule,int-767,gpbar_human,GPBAR1,MMAapril2016_0196,Treatment of liver fibrosis,Steroid ,1,2011.0,Completed,in trial,Bile acid receptors,GPCR;Rhodopsin,not established,int-767,Q8TDU6,agonist,Appears to be heading to phase 2 trials as of 2015
8,0,Class C (Glutamate) ,small molecule,"deuterium containing analog of sodium oxybate, gamma hydroxybutyric acid",gabr1_human,GABBR1,MMAmay2016_0773,sleep disorders; narcolepsy,Amino acid ,1,2014.0,Completed,in trial,GABAB receptors,GPCR;Glutamate,established,jzp-386,Q9UBS5,agonist,
9,0,Class C (Glutamate) ,small molecule,"deuterium containing analog of sodium oxybate, gamma hydroxybutyric acid",gabr2_human,GABBR2,MMAmay2016_0771,sleep disorders; narcolepsy,Amino acid ,1,2014.0,Completed,in trial,GABAB receptors,GPCR;Glutamate,established,jzp-386,O75899,agonist,
10,0,Class B1 (Secretin),peptide,ormd-0901,glp1r_human,GLP1R,1519,Antidiabetic,Peptide ,1,2016.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,"ormd-0901, oral glp-1 analog",P43220,agonist,
11,0,Class A (Rhodopsin),small molecule,trv734,oprk_human,OPRK1,MMAapril2016_0140,Analgesics,Peptide ,1,2015.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,trv734,P41145,agonist,
12,0,Class B1 (Secretin),unknown,glp1 agonist ,glp1r_human,GLP1R,2155,Antidiabetic,Peptide ,1,2010.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,viaderm-glp1 agonist,P43220,agonist,
13,0,Class B1 (Secretin),peptide,zyd1,glp1r_human,GLP1R,2256,Antidiabetic,Peptide ,1,2012.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,zyd1,P43220,agonist,
14,0,Class A (Rhodopsin),small molecule,ari-3037mo,hcar2_human,HCAR2,226,Vitamin B analog; for treatment for hyperlipidemia,Alicarboxylic acid ,2,2015.0,Completed,in trial,Hydroxycarboxylic acid receptors,GPCR;Rhodopsin,established,ari-3037mo,Q8TDS4,agonist,
15,0,Class A (Rhodopsin),small molecule,ari-3037mo,hcar3_human,HCAR3,226,Vitamin B analog; for treatment for hyperlipidemia,Alicarboxylic acid ,2,2015.0,Completed,in trial,Hydroxycarboxylic acid receptors,GPCR;Rhodopsin,established,ari-3037mo,P49019,agonist,
16,0,Class A (Rhodopsin),small molecule,ati-7505,5ht4r_human,HTR4,265,Parasympathomimetic,Aminergic ,2,2009.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,ati-7505,Q13639,agonist,
17,0,Class B1 (Secretin),peptide,"efpeglenatide, hm11260c",glp1r_human,GLP1R,MMAmar2016_0245,Antidiabetic,Peptide ,2,2014.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,"efpeglenatide, hm11260c",P43220,agonist,
18,0,Class B1 (Secretin),peptide,glp,glp1r_human,GLP1R,699,Appetite suppressant,Peptide ,2,2009.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,eligen pyy-3-36 + glp-1,P43220,agonist,
19,0,Class A (Rhodopsin),small molecule,gsk-961081,adrb2_human,ADRB2,881,Bronchodilator,Aminergic ,2,2015.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,gsk-961081,P07550,agonist,
20,0,Class A (Rhodopsin),small molecule,kp201,oprd_human,OPRD1,1079,Analgesics,Peptide ,2,2015.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,kp201 (prodrug of hydrocodone),P41143,agonist,Difficult to get good clinical trial info for
21,0,Class A (Rhodopsin),small molecule,kp201,oprk_human,OPRK1,1079,Analgesics,Peptide ,2,2015.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,kp201 (prodrug of hydrocodone),P41145,agonist,Difficult to get good clinical trial info for
22,0,Class A (Rhodopsin),small molecule,kp201,oprm_human,OPRM1,1079,Analgesics,Peptide ,2,2015.0,Completed,in trial,Opioid receptors,GPCR;Rhodopsin,established,kp201 (prodrug of hydrocodone),P35372,agonist,Difficult to get good clinical trial info for
23,0,Class A (Rhodopsin),small molecule,las-100977,adrb2_human,ADRB2,1092,Bronchodilator,Aminergic ,2,2011.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,las-100977,P07550,agonist,
24,0,Class A (Rhodopsin),small molecule,"min-001,  cyr-101",5ht2a_human,HTR2A,MMAapril2016_0202,schizophrenia,Aminergic ,2,2009.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,"min-001,  cyr-101",P28223,agonist,Can't find information if discontinued or not
25,0,Class A (Rhodopsin),unknown,mn-221,adrb2_human,ADRB2,1317,Anti-Asthmatic,Aminergic ,2,2008.0,Completed,in trial,Adrenoceptors,GPCR;Rhodopsin,established,mn-221,P07550,agonist,no information on next phase plans
26,0,Class A (Rhodopsin),small molecule,opa-6566,aa2ar_human,ADORA2A,MMAmay2016_0512,Antiglaucomic,Nucleotide ,2,2011.0,Completed,in trial,Adenosine receptors,GPCR;Rhodopsin,established,opa-6566,P29274,agonist,
27,0,Class B1 (Secretin),protein,pb1023,glp1r_human,GLP1R,1569,Antidiabetic,Peptide ,2,2012.0,Completed,in trial,Glucagon receptor family,GPCR;Secretin,established,"pb1023, glp-1-elp-120,glymera",P43220,agonist,
28,0,Class A (Rhodopsin),small molecule,"pd-6735, tik-301",mtr1a_human,MTNR1A,1575,Hypnotics and Sedatives,Melatonin ,2,2004.0,Completed,in trial,Melatonin,GPCR;Rhodopsin,established,"pd-6735, ly-156735, tik-301",P48039,agonist,May still be researched
29,0,Class A (Rhodopsin),small molecule,"pd-6735, tik-301",mtr1b_human,MTNR1B,1575,Hypnotics and Sedatives,Melatonin ,2,2004.0,Completed,in trial,Melatonin,GPCR;Rhodopsin,established,"pd-6735, ly-156735, tik-301",P49286,agonist,May still be researched
30,0,Class A (Rhodopsin),small molecule,opc-14523,5ht1a_human,HTR1A,1662,Anti-depressant,Aminergic ,2,2009.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,"prs-013, opc-14523",P08908,agonist,No development reported
31,0,Class A (Rhodopsin),small molecule,prx-3140,5ht4r_human,HTR4,1671,Alzheimer's disease,Aminergic ,2,2013.0,Completed,in trial,5-Hydroxytryptamine receptors,GPCR;Rhodopsin,established,prx-3140,Q13639,agonist,
