,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note
0,tolterodine,small molecule,Aminergic ,antagonist,,secondary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,2036,"tolterodine extended release capsules,detrol la",incontinence,4,,-,approved,1998,
1,PTH analog,small molecule,Peptide,agonist,768974,primary,PTH1R,pth1r_human,Q03431,Class B1 (Secretin),GPCR;Secretin,Parathyroid hormone receptors,established,10,"768974, parathyroid hormone analog",Anti-osteoporotic,2,2011,discontinued,in trial,-,
2,alb-127158(a),small molecule,Peptide,antagonist,,primary,MC1R,mshr_human,Q01726,Class A (Rhodopsin),GPCR;Rhodopsin,Melanocortin receptors,not established,100,alb-127158(a),Anti-obesity,1,2011,discontinued,in trial,-,UK
3,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1009,intranasal apomorphine,sexual dysfunction in women; erectile dysfunction; Antiparkinson,2,2006,completed,in trial,-,
4,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD3,drd3_human,P35462,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1009,intranasal apomorphine,sexual dysfunction in women; erectile dysfunction; Antiparkinson,2,2006,completed,in trial,-,
5,apomorphine,small molecule,Aminergic ,agonist,,primary,DRD4,drd4_human,P21917,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,1009,intranasal apomorphine,sexual dysfunction in women; erectile dysfunction; Antiparkinson,2,2006,completed,in trial,-,
6,albiglutide,protein,Peptide,agonist,,primary,GLP1R,glp1r_human,P43220,Class B1 (Secretin),GPCR;Secretin,Glucagon receptor family,established,101,"albiglutide, gsk716155,syncria",Antidiabetic,4,,-,approved,2014,
7,morphine,small molecule,Peptide,agonist,,primary,OPRD1,oprd_human,P41143,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1013,"intranasal morphine,rylomine",Analgesics,2,2008,completed,in trial,-,
8,morphine,small molecule,Peptide,agonist,,primary,OPRK1,oprk_human,P41145,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1013,"intranasal morphine,rylomine",Analgesics,2,2008,completed,in trial,-,
9,morphine,small molecule,Peptide,agonist,,primary,OPRM1,oprm_human,P35372,Class A (Rhodopsin),GPCR;Rhodopsin,Opioid receptors,established,1013,"intranasal morphine,rylomine",Analgesics,2,2008,completed,in trial,-,
