,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note,PMID
0,abaloparatide,peptide,Peptide,agonist,,primary,PTHR1,pth1r_human,Q03431,Class B1 (Secretin),GPCR;Secretin,Parathyroid hormone receptors,established,ASH_Sep2016_345,"Abaloparatide, ITM-058, BA-058",Anti-osteoporotic,4,,-,approved,2017,,28389324|26562265
1,abarelix,peptide,Peptide,antagonist,,primary,GNRHR,gnrhr_human,P30968,Class A (Rhodopsin),GPCR;Rhodopsin,Gonadotrophin-releasing hormone receptors,established,19,"abarelix, plenaxis",Antineoplastic,4,,-,approved,2003,,16985933
2,acamprosate,small molecule,Amino acid ,antagonist,,primary,GRM5,grm5_human,P41594,Class C (Glutamate) ,GPCR;Glutamate,Metabotropic glutamate receptors,established,34,"acamprosate,campral",Antineoplastic,4,,-,approved,2004,,15963001
3,acebutolol,small molecule,Aminergic ,antagonist,,primary,ADRB1,adrb1_human,P08588,Class A (Rhodopsin),GPCR;Rhodopsin,Adrenoceptors,established,NRDD001,-,Antihypertensive,4,,-,approved,1984,,2453744|2568935|16268148|11752352
4,acepromazine,small molecule,Aminergic ,antagonist,aceprometazine,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Oct2016_383,acepromazine,Antipsychotic,4,,-,approved,-,,7918347
5,acepromazine,small molecule,Aminergic ,antagonist,aceprometazine,primary,HTR2A,5ht2a_human,P28223,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_379,acepromazine,Antipsychotic,4,,-,approved,-,,10821438|8593484
6,acepromazine,small molecule,Aminergic ,antagonist,aceprometazine,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,ASH_Oct2016_387,acepromazine,Antipsychotic,4,,-,approved,-,,11103886|11873706|15694263|16867246|11752352|20643630
7,acepromazine,small molecule,Aminergic ,antagonist,aceprometazine,primary,HTR1A,5ht1a_human,P08908,Class A (Rhodopsin),GPCR;Rhodopsin,5-Hydroxytryptamine receptors,established,ASH_Oct2016_391,acepromazine,Antipsychotic,4,,-,approved,-,,11755134|9760039
8,acepromazine,small molecule,Aminergic ,antagonist,aceprometazine,primary,HRH1,hrh1_human,P35367,Class A (Rhodopsin),GPCR;Rhodopsin,Histamine receptors,established,NRDD003,-,Hypnotics and Sedatives,4,,-,approved,-,Withdrawn in EU - not sure if ever in trials in US,17139284|17016423|4406367|11752352
9,acetophenazine,small molecule,Aminergic ,antagonist,,primary,DRD1,drd1_human,P21728,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD006,-,schizophrenia,4,,-,approved,1961,,17139284|17016423
10,acetophenazine,small molecule,Aminergic ,antagonist,,primary,DRD2,drd2_human,P14416,Class A (Rhodopsin),GPCR;Rhodopsin,Dopamine receptors,established,NRDD006,-,schizophrenia,4,,-,approved,1961,,17139284|17016423|11873706|6147851|11752352
11,acetylcholine,small molecule,Aminergic ,agonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,ASH_Sep2016_68,acetylcholine,Antiglaucomic,4,,-,approved,1973,,508313
12,acipimox,small molecule,Alicarboxylic acid ,agonist,,primary,HCAR2,hcar2_human,Q8TDS4,Class A (Rhodopsin),GPCR;Rhodopsin,Hydroxycarboxylic acid receptors,established,ASH_Oct2016_428,acipimox,lipid-lowering,4,,-,approved,2003,,22267479
13,aclidinium,small molecule,Aminergic ,antagonist,,primary,CHRM1,acm1_human,P11229,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,44,aclidinium,Bronchodilator,4,,-,approved,2012,,19710368|19478135
14,aclidinium,small molecule,Aminergic ,antagonist,,primary,CHRM2,acm2_human,P08172,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,44,aclidinium,Bronchodilator,4,,-,approved,2012,,19710368|19478135
15,aclidinium,small molecule,Aminergic ,antagonist,,primary,CHRM3,acm3_human,P20309,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,44,aclidinium,Bronchodilator,4,,-,approved,2012,,19710368|19478135
16,aclidinium,small molecule,Aminergic ,antagonist,,primary,CHRM4,acm4_human,P08173,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,44,aclidinium,Bronchodilator,4,,-,approved,2012,,19710368|19478135
17,aclidinium,small molecule,Aminergic ,antagonist,,primary,CHRM5,acm5_human,P08912,Class A (Rhodopsin),GPCR;Rhodopsin,Acetylcholine receptors (muscarinic),established,44,aclidinium,Bronchodilator,4,,-,approved,2012,,19710368|19478135
