"DRUG_ID","Name","ligand_name","ChEMBLID","DrugBankID","PubChemCID","CAS","UNII","InChiKey","SMILES","MolecularWeight","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAceptorCount","RotableBondCount","HeavyAtomCount","Max_Phase","Drug_Status","Approval_Year","Drug_Type","Action","TargetProteinID","entry_name","receptor_class","receptor_family","ligand_type","ICD_Code","ICD_Title","IndicationMaxPhase","IndicationStatus","URI","PubMedID"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","4A8Z","Allergic or hypersensitivity conditions of unspecified type",4,"Approved","642618805/unspecified","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","8A43.Z","Neuromyelitis optica, unspecified",1,"Inactive","744293382/unspecified","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","9A60.02","Allergic conjunctivitis",4,"Approved","361206059","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","CA08.01","Allergic rhinitis due to other seasonal allergens",4,"Approved","1565925107","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","CA08.03","Other allergic rhinitis",3,"Inactive","941478759","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","CA08.0Z","Allergic rhinitis, unspecified",4,"Approved","1711769234/unspecified","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","CA09.0","Chronic rhinitis",2,"Inactive","1346915097","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","EA80.Z","Atopic eczema, unspecified",3,"Unknown","215767047/unspecified","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","EA8Z","Dermatitis or eczema, unspecified",3,"Inactive","1887882424/unspecified","31747183, 30000569, 35951890"
1,"cetirizine","cetirizine","CHEMBL1000","DB00341","2678","83881-51-0","YO7261ME24","ZKLPARSLTMPFCP-UHFFFAOYSA-N","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl",388.9,1.7,53,443,0,1,5,8,27,4,"Approved",1995,"Small molecule","Antagonist","P35367","hrh1_human","Class A (Rhodopsin)","Histamine receptors","Aminergic receptors","EB05","Urticaria of unspecified type",4,"Approved","993242399","31747183, 30000569, 35951890"
