pdb,main template,version,overall_all,overall_backbone,TM_all,TM_backbone,H8,ICL1,ECL1,ICL2,ECL2,ECL3,notes
5YWY,6BQH,17/07/2018,7.1,6.1,4.0,2.8,21.5,5.2,4.0,2.8,8.7,7.3,TM5 modeled incorrectly in both models due to alignment shift in TM5. The orientation of H8 is different in the structure than what was expected
6IIU,6BQH,17/07/2018,8.3,8.0,7.3,7.0,16.3,-,6.6,5.3,8.6,13.2,TM5 modeled incorrectly in both models due to alignment shift in TM5. The orientation of H8 is different in the structure than what was expected
6HLP,5WS3,17/07/2018,3.6,2.5,2.7,1.8,0.4,1.6,3.0,3.5,3.8,-,
6FJ3,5VEW,17/07/2018,3.7,2.9,2.9,2.0,4.7,1.1,-,4.6,3.4,5.9,
5ZTY,5TGZ,31/01/2019,4.4,3.7,2.7,2.1,5.5,2.2,2.9,1.7,10.4,5.5,
6A94,6BQH,31/01/2019,2.9,2.1,2.1,1.8,0.7,0.5,1.7,6.2,0.9,5.3,
6LI0,6A94,14/03/2019,5.5,4.4,3.9,2.6,5.6,3.0,7.6,1.6,9.1,4.9,Target is closer to an intermediate activation state than inactive
6ME6,5WS3,14/03/2019,5.1,4.3,3.0,2.3,2.9,4.6,5.4,1.8,13.3,7.7,
6W25,3V2Y,14/03/2019,6.3,5.8,6.2,5.8,4.5,2.3,-,5.5,8.2,4.2,Target is closer to an intermediate activation state than inactive. TM5 modeled incorrectly in both models due to alignment shift in ECL2 and TM5
6ME2,5ZBH,14/03/2019,4.7,3.8,3.4,2.5,1.7,3.7,4.4,6.9,9.8,8.3,
6QZH,5UIW,14/03/2019,3.4,2.6,2.7,2.0,2.0,3.8,1.1,6.9,4.7,-,
6KUW,6CM4,14/03/2019,3.7,2.7,2.5,1.8,0.9,0.8,4.1,4.7,7.2,4.1,
6KUX,6CM4,14/03/2019,3.1,2.3,2.6,1.7,1.7,3.1,3.8,4.1,5.7,3.7,
6OL9,4U15,14/03/2019,1.6,1.2,1.4,1.0,1.8,0.8,0.7,2.6,0.9,1.4,
6LFL,6QZH,02/09/2019,3.4,2.4,3.0,1.9,2.1,0.8,3.0,4.2,3.8,-,
6VJM,4OO9,30/07/2020,7.0,6.3,3.2,2.4,-,4.8,6.6,9.5,15.3,2.6,
6W2Y,4OO9,30/07/2020,5.5,4.9,2.8,2.0,-,1.3,11.1,-,10.1,5.4,
6TPK,6HLP,30/07/2020,3.5,2.5,3.0,2.3,-,-,3.0,2.8,3.4,3.1,
6KO5,4BUO,30/07/2020,3.9,2.7,3.1,2.1,2.1,4.7,2.9,4.0,3.3,-,
7BR3,6TPK,02/09/2020,4.6,4.4,3.0,2.3,-,-,5.7,-,8.8,4.5,
6WW2,6BD4,02/09/2020,5.7,4.9,2.4,1.4,2.3,2.4,17.4,1.5,1.1,-,GPCRdb ECL1 was modeled freely without a template
