,TargetId,Accession,Protein-Name,Entry-Name,FamilyId,Family-Name,Ligand-type,Primary-transducer,Secondary-transducer,Primary-effectors,Secondary-effectors
0,1,P08908,5-HT1A receptor,5ht1a_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,,Adenylate cyclase inhibition,Phospholipase C stimulation
1,2,P28222,5-HT1B receptor,5ht1b_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
2,3,P28221,5-HT1D receptor,5ht1d_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
3,4,P28566,5-ht1e receptor,5ht1e_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
4,5,P30939,5-HT1F receptor,5ht1f_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
5,6,P28223,5-HT2A receptor,5ht2a_human,1,5-Hydroxytryptamine receptors,Aminergic,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Adenylate cyclase inhibition
6,7,P41595,5-HT2B receptor,5ht2b_human,1,5-Hydroxytryptamine receptors,Aminergic,Gq/G11 family,None,,None
7,8,P28335,5-HT2C receptor,5ht2c_human,1,5-Hydroxytryptamine receptors,Aminergic,Gq/G11 family,Gi/Go family,Phospholipase C stimulation,Adenylate cyclase inhibition
8,9,Q13639,5-HT4 receptor,5ht4r_human,1,5-Hydroxytryptamine receptors,Aminergic,Gs family,G12/G13 family,"Adenylate cyclase stimulation, Calcium channel, Other - See Comments",Other - See Comments
9,10,P47898,5-ht5a receptor,5ht5a_human,1,5-Hydroxytryptamine receptors,Aminergic,Gi/Go family,Gq/G11 family,Adenylate cyclase inhibition,Phospholipase C stimulation
10,11,P50406,5-HT6 receptor,5ht6r_human,1,5-Hydroxytryptamine receptors,Aminergic,Gs family,Gq/G11 family,Adenylate cyclase stimulation,Phospholipase C stimulation
11,12,P34969,5-HT7 receptor,5ht7r_human,1,5-Hydroxytryptamine receptors,Aminergic,Gs family,None,Adenylate cyclase stimulation,None
12,13,P11229,M1 receptor,acm1_human,2,Acetylcholine receptors (muscarinic),Aminergic,Gq/G11 family,None,Phospholipase C stimulation,None
13,14,P08172,M2 receptor,acm2_human,2,Acetylcholine receptors (muscarinic),Aminergic,Gi/Go family,"Gs family, Gq/G11 family",Adenylate cyclase inhibition,"Adenylate cyclase stimulation, Phospholipase C stimulation"
15,15,P20309,M3 receptor,acm3_human,2,Acetylcholine receptors (muscarinic),Aminergic,Gq/G11 family,None,Phospholipase C stimulation,None
16,16,P08173,M4 receptor,acm4_human,2,Acetylcholine receptors (muscarinic),Aminergic,Gi/Go family,None,Adenylate cyclase inhibition,None
17,17,P08912,M5 receptor,acm5_human,2,Acetylcholine receptors (muscarinic),Aminergic,Gq/G11 family,None,Phospholipase C stimulation,None
180,18,P30542,A1 receptor,aa1r_human,3,Adenosine receptors,Nucleotide,Gi/Go family,"Gs family, Gq/G11 family",Adenylate cyclase inhibition,"Adenylate cyclase stimulation, Phospholipase C stimulation"
181,19,P29274,A2A receptor,aa2ar_human,3,Adenosine receptors,Nucleotide,Gs family,Gq/G11 family,Adenylate cyclase stimulation,"Adenylate cyclase stimulation, Phospholipase C stimulation"
182,20,P29275,A2B receptor,aa2br_human,3,Adenosine receptors,Nucleotide,Gs family,Gq/G11 family,Adenylate cyclase stimulation,Phospholipase C stimulation
183,21,P0DMS8,A3 receptor,aa3r_human,3,Adenosine receptors,Nucleotide,Gi/Go family,Gi/Go family,Adenylate cyclase inhibition,Phospholipase C stimulation
18,22,P35348,alpha1A-adrenoceptor,ada1a_human,4,Adrenoceptors,Aminergic,Gq/G11 family,G12/G13 family,"Phospholipase C stimulation, Calcium channel, Other - See Comments","Phospholipase A2 stimulation, Phospholipase D stimulation, Other - See Comments"
19,23,P35368,alpha1B-adrenoceptor,ada1b_human,4,Adrenoceptors,Aminergic,Gq/G11 family,,"Phospholipase C stimulation, Calcium channel, Other - See Comments","Phospholipase D stimulation, Other - See Comments"
